gene_name	type	chromsome	start	stop	length	strand
AT1G08950	tRNA	Chr1	2879303	2879374	72	+
AT1G08960	protein_coding_gene	Chr1	2879642	2882231	2590	+
AT1G08970	protein_coding_gene	Chr1	2882524	2884337	1814	+
AT1G08980	protein_coding_gene	Chr1	2884411	2886620	2210	+
AT1G08985	protein_coding_gene	Chr1	2887285	2887706	422	+
AT1G08990	protein_coding_gene	Chr1	2888753	2890959	2207	+
AT1G09000	protein_coding_gene	Chr1	2891037	2895182	4146	+
AT1G09010	protein_coding_gene	Chr1	2895166	2899384	4219	-
AT1G09020	protein_coding_gene	Chr1	2899914	2904815	4902	-
AT1G09026	protein_coding_gene	Chr1	2907124	2907279	156	+
AT1G09030	protein_coding_gene	Chr1	2908611	2909030	420	-
AT1G09040	protein_coding_gene	Chr1	2911317	2915369	4053	+
AT1G09050	protein_coding_gene	Chr1	2918031	2920889	2859	+
AT1G09060	protein_coding_gene	Chr1	2921064	2925762	4699	-
AT1G09070	protein_coding_gene	Chr1	2927703	2928968	1266	+
AT1G09080	protein_coding_gene	Chr1	2929217	2931841	2625	-
AT1G09090	protein_coding_gene	Chr1	2932739	2936586	3848	+
AT1G09100	protein_coding_gene	Chr1	2936528	2939326	2799	-
AT1G09110	tRNA	Chr1	2939417	2939488	72	+
AT1G09130	protein_coding_gene	Chr1	2939570	2942288	2719	-
AT1G09140	protein_coding_gene	Chr1	2942564	2945961	3398	-
AT1G09150	protein_coding_gene	Chr1	2946229	2949159	2931	+
AT1G09155	protein_coding_gene	Chr1	2949676	2950989	1314	-
AT1G09157	protein_coding_gene	Chr1	2951665	2952396	732	-
AT1G09160	protein_coding_gene	Chr1	2952771	2955689	2919	-
AT1G09170	protein_coding_gene	Chr1	2956589	2962207	5619	-
AT1G09176	protein_coding_gene	Chr1	2964152	2964604	453	+
AT1G09180	protein_coding_gene	Chr1	2965023	2965972	950	+
AT1G09190	protein_coding_gene	Chr1	2966120	2967718	1599	-
AT1G09195	protein_coding_gene	Chr1	2967940	2971498	3559	-
AT1G09200	protein_coding_gene	Chr1	2971593	2972199	607	-
AT1G09210	protein_coding_gene	Chr1	2972842	2976750	3909	-
AT1G09220	protein_coding_gene	Chr1	2977792	2979466	1675	-
AT1G09230	protein_coding_gene	Chr1	2979520	2982624	3105	-
AT1G09240	protein_coding_gene	Chr1	2984881	2986130	1250	+
AT1G09245	protein_coding_gene	Chr1	2986939	2987393	455	-
AT1G09250	protein_coding_gene	Chr1	2989378	2990357	980	+
AT1G09260	protein_coding_gene	Chr1	2993404	2993820	417	+
AT1G09270	protein_coding_gene	Chr1	2994369	2998222	3854	+
AT1G09280	protein_coding_gene	Chr1	2998100	3001315	3216	-
AT1G09290	protein_coding_gene	Chr1	3001517	3003762	2246	-
AT1G09300	protein_coding_gene	Chr1	3003495	3008213	4719	+
AT1G09310	protein_coding_gene	Chr1	3009055	3009880	826	+
AT1G09320	protein_coding_gene	Chr1	3009941	3012363	2423	-
AT1G09330	protein_coding_gene	Chr1	3012762	3015091	2330	-
AT1G09340	protein_coding_gene	Chr1	3015328	3018234	2907	+
AT1G09350	protein_coding_gene	Chr1	3019819	3021441	1623	+
AT1G09360	protein_coding_gene	Chr1	3021802	3022368	567	+
AT1G09370	protein_coding_gene	Chr1	3024896	3025435	540	+
AT1G09380	protein_coding_gene	Chr1	3026135	3029549	3415	-
AT1G09390	protein_coding_gene	Chr1	3031203	3033582	2380	+
AT1G09400	protein_coding_gene	Chr1	3033512	3035036	1525	-
AT1G09410	protein_coding_gene	Chr1	3035443	3037560	2118	+
AT1G09415	protein_coding_gene	Chr1	3037754	3038408	655	-
AT1G09420	protein_coding_gene	Chr1	3038462	3041873	3412	-
AT1G09421	other_RNA	Chr1	3038631	3039326	696	+
AT1G09430	protein_coding_gene	Chr1	3041996	3045402	3407	+
AT1G09440	protein_coding_gene	Chr1	3045513	3047893	2381	-
AT1G09450	protein_coding_gene	Chr1	3049024	3053112	4089	+
AT1G09460	protein_coding_gene	Chr1	3053901	3055360	1460	+
AT1G09470	protein_coding_gene	Chr1	3055231	3057443	2213	-
AT1G09480	protein_coding_gene	Chr1	3057975	3060661	2687	+
AT1G09483	protein_coding_gene	Chr1	3060992	3061729	738	-
AT1G09490	protein_coding_gene	Chr1	3064124	3065937	1814	+
AT1G09500	protein_coding_gene	Chr1	3066699	3068598	1900	+
AT1G09510	protein_coding_gene	Chr1	3069385	3070910	1526	+
AT1G09520	protein_coding_gene	Chr1	3070946	3072050	1105	-
AT1G09530	protein_coding_gene	Chr1	3076582	3079539	2958	+
AT1G09540	protein_coding_gene	Chr1	3086159	3087912	1754	+
AT1G09550	protein_coding_gene	Chr1	3089733	3092327	2595	-
AT1G09560	protein_coding_gene	Chr1	3093839	3094864	1026	+
AT1G09570	protein_coding_gene	Chr1	3095256	3100357	5102	-
AT1G09575	protein_coding_gene	Chr1	3101671	3102925	1255	-
AT1G09580	protein_coding_gene	Chr1	3104588	3106290	1703	+
AT1G09590	protein_coding_gene	Chr1	3106502	3107772	1271	+
AT1G09600	protein_coding_gene	Chr1	3108617	3111318	2702	+
AT1G09610	protein_coding_gene	Chr1	3111694	3112873	1180	+
AT1G09620	protein_coding_gene	Chr1	3112778	3116699	3922	-
AT1G09625	protein_coding_gene	Chr1	3117137	3117567	431	-
AT1G09630	protein_coding_gene	Chr1	3118203	3119708	1506	-
AT1G09640	protein_coding_gene	Chr1	3119878	3122526	2649	+
AT1G09645	protein_coding_gene	Chr1	3122956	3124578	1623	+
AT1G09650	protein_coding_gene	Chr1	3125807	3127284	1478	+
AT1G09660	protein_coding_gene	Chr1	3127771	3131094	3324	-
AT1G09665	protein_coding_gene	Chr1	3133095	3133674	580	+
AT1G09680	protein_coding_gene	Chr1	3134107	3135930	1824	-
AT1G09690	protein_coding_gene	Chr1	3136188	3137475	1288	-
AT1G09700	protein_coding_gene	Chr1	3137767	3140353	2587	-
AT1G09710	protein_coding_gene	Chr1	3140868	3144370	3503	+
AT1G09720	protein_coding_gene	Chr1	3144438	3147303	2866	-
AT1G09730	protein_coding_gene	Chr1	3147667	3154380	6714	-
AT1G09740	protein_coding_gene	Chr1	3154532	3156275	1744	+
AT1G09750	protein_coding_gene	Chr1	3157501	3159148	1648	+
AT1G09760	protein_coding_gene	Chr1	3159125	3161692	2568	-
AT1G09770	protein_coding_gene	Chr1	3161841	3165360	3520	+
AT1G09780	protein_coding_gene	Chr1	3165370	3167869	2500	-
AT1G09790	protein_coding_gene	Chr1	3168482	3170819	2338	-
AT1G09794	protein_coding_gene	Chr1	3172108	3173463	1356	+
AT1G09795	protein_coding_gene	Chr1	3173534	3176910	3377	+
AT1G09800	protein_coding_gene	Chr1	3176883	3180421	3539	-
AT1G09810	protein_coding_gene	Chr1	3180936	3184224	3289	-
AT1G09812	protein_coding_gene	Chr1	3187817	3188580	764	+
AT1G09815	protein_coding_gene	Chr1	3189369	3190242	874	+
AT1G09820	protein_coding_gene	Chr1	3190288	3192414	2127	-
AT1G09830	protein_coding_gene	Chr1	3192681	3195025	2345	-
AT1G09840	protein_coding_gene	Chr1	3195824	3200291	4468	-
AT1G09850	protein_coding_gene	Chr1	3201799	3204150	2352	+
AT1G09860	protein_coding_gene	Chr1	3204016	3205309	1294	-
AT1G09870	protein_coding_gene	Chr1	3205741	3208598	2858	+
AT1G09880	protein_coding_gene	Chr1	3208828	3211653	2826	-
AT1G09890	protein_coding_gene	Chr1	3214237	3217538	3302	-
AT1G09900	protein_coding_gene	Chr1	3218133	3219929	1797	+
AT1G09910	protein_coding_gene	Chr1	3220035	3224541	4507	-
AT1G09920	protein_coding_gene	Chr1	3224684	3227070	2387	-
AT1G09930	protein_coding_gene	Chr1	3227490	3230043	2554	-
AT1G09932	protein_coding_gene	Chr1	3230450	3233109	2660	-
AT1G09935	protein_coding_gene	Chr1	3234060	3235530	1471	-
AT1G09940	protein_coding_gene	Chr1	3236995	3239554	2560	-
AT1G09950	protein_coding_gene	Chr1	3240606	3241632	1027	-
AT1G09960	protein_coding_gene	Chr1	3244213	3247200	2988	+
AT1G09970	protein_coding_gene	Chr1	3252240	3255693	3454	+
AT1G09980	protein_coding_gene	Chr1	3256245	3261614	5370	-
AT1G09995	protein_coding_gene	Chr1	3262265	3263612	1348	-
AT1G10000	protein_coding_gene	Chr1	3263877	3264788	912	-
AT1G10010	protein_coding_gene	Chr1	3265976	3268726	2751	+
AT1G10020	protein_coding_gene	Chr1	3269604	3271987	2384	-
AT1G10030	protein_coding_gene	Chr1	3273825	3275837	2013	+
AT1G10040	protein_coding_gene	Chr1	3275891	3278697	2807	-
AT1G10050	protein_coding_gene	Chr1	3279270	3283482	4213	+
AT1G10060	protein_coding_gene	Chr1	3284239	3287107	2869	+
AT1G10070	protein_coding_gene	Chr1	3288087	3290471	2385	+
AT1G10090	protein_coding_gene	Chr1	3290311	3296198	5888	-
AT1G10095	protein_coding_gene	Chr1	3297324	3300443	3120	-
AT1G10100	protein_coding_gene	Chr1	3300697	3301489	793	-
AT1G10110	protein_coding_gene	Chr1	3302742	3304092	1351	+
AT1G10120	protein_coding_gene	Chr1	3304039	3306824	2786	-
AT1G10130	protein_coding_gene	Chr1	3310930	3322213	11284	+
AT1G10140	protein_coding_gene	Chr1	3322802	3323548	747	-
AT1G10150	protein_coding_gene	Chr1	3325824	3327614	1791	+
AT1G10155	protein_coding_gene	Chr1	3327637	3328448	812	-
AT1G10170	protein_coding_gene	Chr1	3333595	3337491	3897	-
AT1G10180	protein_coding_gene	Chr1	3338303	3341608	3306	-
AT1G10190	protein_coding_gene	Chr1	3343686	3345632	1947	-
AT1G10200	protein_coding_gene	Chr1	3346390	3347885	1496	-
AT1G10210	protein_coding_gene	Chr1	3349219	3351180	1962	+
AT1G10220	protein_coding_gene	Chr1	3352159	3354856	2698	+
AT1G10230	protein_coding_gene	Chr1	3355571	3356359	789	+
AT1G10240	protein_coding_gene	Chr1	3356680	3359838	3159	-
AT1G10250	protein_coding_gene	Chr1	3360087	3360508	422	-
AT1G10270	protein_coding_gene	Chr1	3363504	3366488	2985	+
AT1G10280	protein_coding_gene	Chr1	3366493	3369095	2603	-
AT1G10290	protein_coding_gene	Chr1	3370558	3377463	6906	+
AT1G10300	protein_coding_gene	Chr1	3378142	3380226	2085	+
AT1G10310	protein_coding_gene	Chr1	3381601	3383914	2314	-
AT1G10320	protein_coding_gene	Chr1	3384164	3388373	4210	-
AT1G10330	protein_coding_gene	Chr1	3388747	3390150	1404	+
AT1G10340	protein_coding_gene	Chr1	3390322	3392571	2250	-
AT1G10350	protein_coding_gene	Chr1	3393407	3395055	1649	-
AT1G10360	protein_coding_gene	Chr1	3395558	3396849	1292	-
AT1G10370	protein_coding_gene	Chr1	3397081	3398358	1278	-
AT1G10380	protein_coding_gene	Chr1	3400606	3402324	1719	+
AT1G10385	protein_coding_gene	Chr1	3403224	3405856	2633	+
AT1G10390	protein_coding_gene	Chr1	3407024	3412843	5820	-
AT1G10400	protein_coding_gene	Chr1	3414852	3416358	1507	-
AT1G10410	protein_coding_gene	Chr1	3416680	3419639	2960	-
AT1G10417	protein_coding_gene	Chr1	3424186	3427457	3272	-
AT1G10430	protein_coding_gene	Chr1	3428478	3430633	2156	-
AT1G10440	tRNA	Chr1	3431185	3431256	72	-
AT1G10450	protein_coding_gene	Chr1	3431780	3438370	6591	+
AT1G10455	protein_coding_gene	Chr1	3438555	3439013	459	+
AT1G10460	protein_coding_gene	Chr1	3439322	3440320	999	-
AT1G10470	protein_coding_gene	Chr1	3442327	3443957	1631	-
AT1G10480	protein_coding_gene	Chr1	3449691	3451226	1536	+
AT1G10490	protein_coding_gene	Chr1	3453228	3460620	7393	+
AT1G10500	protein_coding_gene	Chr1	3460000	3461485	1486	-
AT1G10510	protein_coding_gene	Chr1	3461635	3465786	4152	+
AT1G10520	protein_coding_gene	Chr1	3465964	3469248	3285	+
AT1G10522	protein_coding_gene	Chr1	3469580	3471488	1909	+
AT1G10530	protein_coding_gene	Chr1	3471456	3472672	1217	-
AT1G10540	protein_coding_gene	Chr1	3474864	3477927	3064	-
AT1G10550	protein_coding_gene	Chr1	3479153	3480988	1836	-
AT1G10560	protein_coding_gene	Chr1	3484580	3486965	2386	+
AT1G10570	protein_coding_gene	Chr1	3487584	3491277	3694	+
AT1G10580	protein_coding_gene	Chr1	3491281	3493737	2457	-
AT1G10585	protein_coding_gene	Chr1	3493940	3495144	1205	-
AT1G10586	protein_coding_gene	Chr1	3496928	3499439	2512	-
AT1G10588	protein_coding_gene	Chr1	3501145	3501904	760	+
AT1G10590	protein_coding_gene	Chr1	3502004	3503457	1454	-
AT1G10600	protein_coding_gene	Chr1	3503704	3505502	1799	+
AT1G10610	protein_coding_gene	Chr1	3506186	3509006	2821	+
AT1G10620	protein_coding_gene	Chr1	3509001	3511975	2975	-
AT1G10630	protein_coding_gene	Chr1	3512795	3514729	1935	-
AT1G10640	protein_coding_gene	Chr1	3515365	3517888	2524	-
AT1G10650	protein_coding_gene	Chr1	3524018	3526346	2329	-
AT1G10652	protein_coding_gene	Chr1	3527709	3527831	123	+
AT1G10657	protein_coding_gene	Chr1	3530467	3531842	1376	+
AT1G10660	protein_coding_gene	Chr1	3532424	3535131	2708	+
AT1G10670	protein_coding_gene	Chr1	3535383	3538439	3057	+
AT1G10680	protein_coding_gene	Chr1	3538470	3543782	5313	-
AT1G10682	other_RNA	Chr1	3544991	3545471	481	-
AT1G10690	protein_coding_gene	Chr1	3549992	3550632	641	-
AT1G10700	protein_coding_gene	Chr1	3554104	3556503	2400	+
AT1G10710	protein_coding_gene	Chr1	3558358	3561634	3277	+
AT1G10717	protein_coding_gene	Chr1	3562180	3562554	375	+
AT1G10720	protein_coding_gene	Chr1	3562952	3564759	1808	+
AT1G10730	protein_coding_gene	Chr1	3565463	3567779	2317	+
AT1G10740	protein_coding_gene	Chr1	3567905	3570838	2934	-
AT1G10745	protein_coding_gene	Chr1	3572710	3573066	357	+
AT1G10747	protein_coding_gene	Chr1	3574312	3574830	519	+
AT1G10750	protein_coding_gene	Chr1	3574807	3578474	3668	-
AT1G10760	protein_coding_gene	Chr1	3581034	3590928	9895	-
AT1G10770	protein_coding_gene	Chr1	3591633	3592411	779	-
AT1G10780	protein_coding_gene	Chr1	3592746	3595077	2332	-
AT1G10790	protein_coding_gene	Chr1	3596360	3597847	1488	+
AT1G10800	protein_coding_gene	Chr1	3598158	3598591	434	-
AT1G10810	protein_coding_gene	Chr1	3599271	3600877	1607	+
AT1G10820	protein_coding_gene	Chr1	3600910	3605076	4167	-
AT1G10830	protein_coding_gene	Chr1	3605576	3607493	1918	-
AT1G10840	protein_coding_gene	Chr1	3607631	3610520	2890	-
AT1G10850	protein_coding_gene	Chr1	3611747	3614613	2867	+
AT1G10865	protein_coding_gene	Chr1	3614513	3616159	1647	-
AT1G10870	protein_coding_gene	Chr1	3616610	3623758	7149	-
AT1G10880	protein_coding_gene	Chr1	3624035	3627082	3048	-
AT1G10890	protein_coding_gene	Chr1	3627726	3630765	3040	+
AT1G10900	protein_coding_gene	Chr1	3632234	3637141	4908	-
AT1G10910	protein_coding_gene	Chr1	3639878	3644162	4285	+
AT1G10920	protein_coding_gene	Chr1	3644420	3647768	3349	-
AT1G10930	protein_coding_gene	Chr1	3647894	3655590	7697	-
AT1G10940	protein_coding_gene	Chr1	3655777	3658608	2832	-
AT1G10950	protein_coding_gene	Chr1	3659209	3663984	4776	+
AT1G10960	protein_coding_gene	Chr1	3664386	3665039	654	+
AT1G10970	protein_coding_gene	Chr1	3665087	3667139	2053	-
AT1G10980	protein_coding_gene	Chr1	3667248	3669902	2655	-
AT1G10990	protein_coding_gene	Chr1	3670278	3671187	910	-
AT1G11000	protein_coding_gene	Chr1	3671756	3675979	4224	-
AT1G11010	tRNA	Chr1	3676607	3676644	38	+
AT1G11020	protein_coding_gene	Chr1	3676691	3678524	1834	+
AT1G11030	tRNA	Chr1	3678775	3678848	74	-
AT1G11040	protein_coding_gene	Chr1	3679225	3680924	1700	-
AT1G11050	protein_coding_gene	Chr1	3681888	3684169	2282	+
AT1G11060	protein_coding_gene	Chr1	3684568	3689847	5280	+
AT1G11070	protein_coding_gene	Chr1	3690212	3693648	3437	-
AT1G11080	protein_coding_gene	Chr1	3694672	3698013	3342	-
AT1G11090	protein_coding_gene	Chr1	3702608	3703779	1172	+
AT1G11100	protein_coding_gene	Chr1	3703672	3709302	5631	-
AT1G11110	protein_coding_gene	Chr1	3710208	3712503	2296	+
AT1G11112	protein_coding_gene	Chr1	3712999	3713735	737	-
AT1G11120	protein_coding_gene	Chr1	3715184	3717320	2137	+
AT1G11125	protein_coding_gene	Chr1	3718783	3719711	929	+
AT1G11130	protein_coding_gene	Chr1	3722857	3727450	4594	+
AT1G11145	protein_coding_gene	Chr1	3727532	3728166	635	-
AT1G11160	protein_coding_gene	Chr1	3733139	3739842	6704	+
AT1G11170	protein_coding_gene	Chr1	3740765	3744675	3911	+
AT1G11175	other_RNA	Chr1	3744858	3745655	798	+
AT1G11180	protein_coding_gene	Chr1	3745774	3748521	2748	+
AT1G11185	other_RNA	Chr1	3749510	3750035	526	+
AT1G11190	protein_coding_gene	Chr1	3750066	3752780	2715	-
AT1G11200	protein_coding_gene	Chr1	3753365	3755641	2277	+
AT1G11210	protein_coding_gene	Chr1	3755677	3756998	1322	-
AT1G11220	protein_coding_gene	Chr1	3759862	3761165	1304	-
AT1G11230	protein_coding_gene	Chr1	3763268	3764483	1216	-
AT1G11240	protein_coding_gene	Chr1	3766754	3768294	1541	-
AT1G11250	protein_coding_gene	Chr1	3768724	3769706	983	+
AT1G11260	protein_coding_gene	Chr1	3777328	3780337	3010	+
AT1G11270	protein_coding_gene	Chr1	3780429	3786990	6562	-
AT1G11280	protein_coding_gene	Chr1	3787334	3790876	3543	-
AT1G11290	protein_coding_gene	Chr1	3791454	3793883	2430	-
AT1G11300	protein_coding_gene	Chr1	3794238	3800719	6482	+
AT1G11310	protein_coding_gene	Chr1	3800738	3804185	3448	-
AT1G11320	protein_coding_gene	Chr1	3807128	3808875	1748	+
AT1G11330	protein_coding_gene	Chr1	3810093	3813607	3515	+
AT1G11340	protein_coding_gene	Chr1	3814116	3817420	3305	-
AT1G11350	protein_coding_gene	Chr1	3817591	3820805	3215	-
AT1G11360	protein_coding_gene	Chr1	3821443	3823088	1646	-
AT1G11362	protein_coding_gene	Chr1	3824510	3825196	687	-
AT1G11370	protein_coding_gene	Chr1	3828098	3830945	2848	-
AT1G11380	protein_coding_gene	Chr1	3832623	3834191	1569	+
AT1G11390	protein_coding_gene	Chr1	3834459	3837629	3171	-
AT1G11400	protein_coding_gene	Chr1	3837821	3840207	2387	+
AT1G11410	protein_coding_gene	Chr1	3841286	3844432	3147	+
AT1G11420	protein_coding_gene	Chr1	3844581	3846872	2292	-
AT1G11430	protein_coding_gene	Chr1	3847243	3849162	1920	+
AT1G11440	protein_coding_gene	Chr1	3849360	3850662	1303	+
AT1G11450	protein_coding_gene	Chr1	3853243	3855385	2143	+
AT1G11460	protein_coding_gene	Chr1	3857005	3859268	2264	+
AT1G11470	protein_coding_gene	Chr1	3859662	3860604	943	-
AT1G11475	protein_coding_gene	Chr1	3862399	3864030	1632	+
AT1G11480	protein_coding_gene	Chr1	3864153	3866969	2817	-
AT1G11490	protein_coding_gene	Chr1	3868884	3870065	1182	-
AT1G11500	protein_coding_gene	Chr1	3870833	3871570	738	+
AT1G11510	protein_coding_gene	Chr1	3871778	3872836	1059	-
AT1G11520	protein_coding_gene	Chr1	3873029	3873619	591	+
AT1G11530	protein_coding_gene	Chr1	3874437	3875484	1048	+
AT1G11540	protein_coding_gene	Chr1	3875442	3877155	1714	-
AT1G11545	protein_coding_gene	Chr1	3878550	3880361	1812	-
AT1G11550	tRNA	Chr1	3881529	3881608	80	+
AT1G11560	protein_coding_gene	Chr1	3881788	3882819	1032	+
AT1G11570	protein_coding_gene	Chr1	3883280	3883956	677	+
AT1G11572	protein_coding_gene	Chr1	3884356	3884952	597	+
AT1G11580	protein_coding_gene	Chr1	3888690	3890811	2122	+
AT1G11590	protein_coding_gene	Chr1	3892580	3894677	2098	+
AT1G11592	other_RNA	Chr1	3895179	3896934	1756	-
AT1G11593	protein_coding_gene	Chr1	3898002	3898609	608	+
AT1G11600	protein_coding_gene	Chr1	3902012	3903782	1771	+
AT1G11608	protein_coding_gene	Chr1	3905579	3906818	1240	+
AT1G11610	protein_coding_gene	Chr1	3906862	3909338	2477	-
AT1G11620	protein_coding_gene	Chr1	3910833	3911924	1092	+
AT1G11630	protein_coding_gene	Chr1	3912902	3914407	1506	-
AT1G11640	tRNA	Chr1	3914629	3914700	72	-
AT1G11650	protein_coding_gene	Chr1	3914774	3918176	3403	+
AT1G11655	protein_coding_gene	Chr1	3919272	3919774	503	+
AT1G11660	protein_coding_gene	Chr1	3920543	3924555	4013	+
AT1G11670	protein_coding_gene	Chr1	3928162	3931576	3415	-
AT1G11680	protein_coding_gene	Chr1	3938501	3940754	2254	+
AT1G11684	protein_coding_gene	Chr1	3941103	3941300	198	-
AT1G11690	protein_coding_gene	Chr1	3941469	3942212	744	+
AT1G11700	protein_coding_gene	Chr1	3945737	3946613	877	+
AT1G11710	protein_coding_gene	Chr1	3948714	3951359	2646	+
AT1G11720	protein_coding_gene	Chr1	3951553	3957044	5492	+
AT1G11730	protein_coding_gene	Chr1	3957473	3960113	2641	+
AT1G11735	miRNA	Chr1	3961348	3961464	117	-
AT1G11740	protein_coding_gene	Chr1	3963054	3966824	3771	-
AT1G11750	protein_coding_gene	Chr1	3967476	3969877	2402	+
AT1G11755	protein_coding_gene	Chr1	3969681	3971840	2160	-
AT1G11760	protein_coding_gene	Chr1	3972032	3973286	1255	-
AT1G11765	protein_coding_gene	Chr1	3973875	3974509	635	+
AT1G11770	protein_coding_gene	Chr1	3975679	3977379	1701	+
AT1G11780	protein_coding_gene	Chr1	3976839	3979195	2357	-
AT1G11785	protein_coding_gene	Chr1	3979862	3980956	1095	-
AT1G11790	protein_coding_gene	Chr1	3981248	3985215	3968	+
AT1G11800	protein_coding_gene	Chr1	3985225	3987290	2066	-
AT1G11810	protein_coding_gene	Chr1	3989763	3991066	1304	+
AT1G11820	protein_coding_gene	Chr1	3991027	3993598	2572	-
AT1G11840	protein_coding_gene	Chr1	3995169	3997907	2739	+
AT1G11850	protein_coding_gene	Chr1	3999199	3999876	678	+
AT1G11860	protein_coding_gene	Chr1	4001113	4003442	2330	+
AT1G11870	protein_coding_gene	Chr1	4003846	4006739	2894	+
AT1G11880	protein_coding_gene	Chr1	4007705	4010433	2729	-
AT1G11890	protein_coding_gene	Chr1	4010779	4013125	2347	+
AT1G11900	protein_coding_gene	Chr1	4013121	4014681	1561	-
AT1G11905	protein_coding_gene	Chr1	4014847	4016540	1694	+
AT1G11910	protein_coding_gene	Chr1	4016784	4020983	4200	-
AT1G11915	protein_coding_gene	Chr1	4021825	4023292	1468	+
AT1G11920	protein_coding_gene	Chr1	4023667	4025097	1431	-
AT1G11925	protein_coding_gene	Chr1	4025930	4026732	803	-
AT1G11930	protein_coding_gene	Chr1	4028692	4030584	1893	+
AT1G11940	protein_coding_gene	Chr1	4031574	4034078	2505	-
AT1G11950	protein_coding_gene	Chr1	4034587	4038758	4172	-
AT1G11960	protein_coding_gene	Chr1	4039711	4043880	4170	-
AT1G11970	protein_coding_gene	Chr1	4044370	4044669	300	+
AT1G11980	protein_coding_gene	Chr1	4045619	4045855	237	+
AT1G11990	protein_coding_gene	Chr1	4046246	4049060	2815	-
AT1G12000	protein_coding_gene	Chr1	4049896	4053835	3940	-
AT1G12010	protein_coding_gene	Chr1	4056207	4057933	1727	+
AT1G12013	snoRNA	Chr1	4058287	4058416	130	+
AT1G12015	snoRNA	Chr1	4058487	4058576	90	+
AT1G12020	protein_coding_gene	Chr1	4062462	4063337	876	-
AT1G12030	protein_coding_gene	Chr1	4064667	4066341	1675	-
AT1G12040	protein_coding_gene	Chr1	4070124	4072567	2444	+
AT1G12050	protein_coding_gene	Chr1	4072752	4076207	3456	+
AT1G12060	protein_coding_gene	Chr1	4076334	4076981	648	+
AT1G12064	protein_coding_gene	Chr1	4077498	4078095	598	-
AT1G12070	protein_coding_gene	Chr1	4078913	4080106	1194	-
AT1G12080	protein_coding_gene	Chr1	4084162	4085045	884	+
AT1G12090	protein_coding_gene	Chr1	4089847	4090725	879	-
AT1G12100	protein_coding_gene	Chr1	4095246	4095845	600	+
AT1G12110	protein_coding_gene	Chr1	4105233	4109545	4313	+
AT1G12120	protein_coding_gene	Chr1	4114771	4117594	2824	-
AT1G12130	protein_coding_gene	Chr1	4118594	4120871	2278	+
AT1G12140	protein_coding_gene	Chr1	4121369	4124595	3227	+
AT1G12150	protein_coding_gene	Chr1	4123530	4125648	2119	-
AT1G12160	protein_coding_gene	Chr1	4126066	4128310	2245	+
AT1G12170	protein_coding_gene	Chr1	4128607	4129701	1095	-
AT1G12180	protein_coding_gene	Chr1	4130421	4131137	717	+
AT1G12190	protein_coding_gene	Chr1	4132967	4134094	1128	-
AT1G12200	protein_coding_gene	Chr1	4137533	4140028	2496	+
AT1G12210	protein_coding_gene	Chr1	4140948	4143605	2658	+
AT1G12211	protein_coding_gene	Chr1	4143866	4144114	249	-
AT1G12220	protein_coding_gene	Chr1	4144572	4147911	3340	+
AT1G12230	protein_coding_gene	Chr1	4147962	4151056	3095	+
AT1G12240	protein_coding_gene	Chr1	4153652	4157644	3993	+
AT1G12244	protein_coding_gene	Chr1	4157654	4159046	1393	+
AT1G12250	protein_coding_gene	Chr1	4159265	4161455	2191	+
AT1G12260	protein_coding_gene	Chr1	4162832	4165852	3021	-
AT1G12270	protein_coding_gene	Chr1	4172075	4174775	2701	+
AT1G12280	protein_coding_gene	Chr1	4174875	4177559	2685	-
AT1G12290	protein_coding_gene	Chr1	4178359	4182593	4235	-
AT1G12294	miRNA	Chr1	4182132	4182299	168	-
AT1G12300	protein_coding_gene	Chr1	4183066	4186124	3059	-
AT1G12310	protein_coding_gene	Chr1	4187165	4188056	892	-
AT1G12320	protein_coding_gene	Chr1	4189355	4190342	988	+
AT1G12330	protein_coding_gene	Chr1	4194658	4196749	2092	+
AT1G12340	protein_coding_gene	Chr1	4197396	4198310	915	+
AT1G12350	protein_coding_gene	Chr1	4198413	4200802	2390	+
AT1G12360	protein_coding_gene	Chr1	4200876	4206404	5529	+
AT1G12370	protein_coding_gene	Chr1	4206374	4208951	2578	-
AT1G12380	protein_coding_gene	Chr1	4214262	4217132	2871	-
AT1G12390	protein_coding_gene	Chr1	4220100	4221774	1675	+
AT1G12400	protein_coding_gene	Chr1	4221863	4222837	975	+
AT1G12410	protein_coding_gene	Chr1	4223030	4225124	2095	+
AT1G12411	protein_coding_gene	Chr1	4225321	4225482	162	-
AT1G12420	protein_coding_gene	Chr1	4226362	4229138	2777	-
AT1G12423	protein_coding_gene	Chr1	4231027	4231146	120	-
AT1G12430	protein_coding_gene	Chr1	4233873	4238764	4892	-
AT1G12440	protein_coding_gene	Chr1	4241592	4243008	1417	-
AT1G12450	protein_coding_gene	Chr1	4244308	4245993	1686	+
AT1G12451	protein_coding_gene	Chr1	4246109	4246291	183	-
AT1G12460	protein_coding_gene	Chr1	4247249	4250630	3382	+
AT1G12470	protein_coding_gene	Chr1	4251032	4257392	6361	+
AT1G12480	protein_coding_gene	Chr1	4257268	4259300	2033	-
AT1G12490	protein_coding_gene	Chr1	4260783	4261869	1087	+
AT1G12500	protein_coding_gene	Chr1	4263150	4265044	1895	-
AT1G12510	tRNA	Chr1	4266988	4267061	74	-
AT1G12520	protein_coding_gene	Chr1	4267106	4268926	1821	-
AT1G12530	protein_coding_gene	Chr1	4268986	4270787	1802	-
